condition,model_a,model_b,mean_accuracy_difference,ci_lower_95,ci_upper_95
original,SVM,SGD,-0.021905027932960876,-0.04469273743016755,-0.005586592178770888
original,SVM,RandomForest,-0.016184357541899428,-0.03910614525139655,0.0
original,SVM,MLP,0.006508379888268154,-0.02234636871508378,0.03910614525139666
original,SGD,RandomForest,0.00572067039106145,0.0,0.016759776536312887
original,SGD,MLP,0.028413407821229027,0.005586592178770999,0.05586592178770955
original,RandomForest,MLP,0.022692737430167583,0.0,0.05027932960893855
noise,SVM,SGD,0.0024753914988814322,-0.05592841163310963,0.06154921700223715
noise,SVM,RandomForest,-0.24175055928411635,-0.26960290827740496,-0.21361856823266223
noise,SVM,MLP,0.0024753914988814322,-0.05592841163310963,0.06154921700223715
noise,SGD,RandomForest,-0.24422595078299775,-0.2942114093959732,-0.19798657718120805
noise,SGD,MLP,0.0,0.0,0.0
noise,RandomForest,MLP,0.24422595078299775,0.19798657718120805,0.2942114093959731
jpeg,SVM,SGD,-0.004417225950782981,-0.008948545861297563,-0.0011185682326622065
jpeg,SVM,RandomForest,-0.0032684563758389076,-0.007829977628635354,0.0
jpeg,SVM,MLP,-0.001130872483221471,-0.006711409395973145,0.004474272930648726
jpeg,SGD,RandomForest,0.0011487695749440741,0.0,0.003355704697986628
jpeg,SGD,MLP,0.0032863534675615104,0.0,0.007829977628635354
jpeg,RandomForest,MLP,0.0021375838926174363,-0.0022371364653243075,0.006711409395973145
downsample,SVM,SGD,-0.44097539149888143,-0.4742729306487695,-0.4116331096196868
downsample,SVM,RandomForest,-0.32607158836689043,-0.3691275167785235,-0.2863255033557047
downsample,SVM,MLP,-0.2923187919463087,-0.3221756152125281,-0.2628635346756152
downsample,SGD,RandomForest,0.11490380313199106,0.09395973154362414,0.13646532438478753
downsample,SGD,MLP,0.14865659955257268,0.12416107382550334,0.17114093959731547
downsample,RandomForest,MLP,0.03375279642058166,-0.0011185682326622093,0.06711409395973156
crop,SVM,SGD,-0.1462147651006711,-0.18011744966442958,-0.11073825503355705
crop,SVM,RandomForest,-0.13312080536912752,-0.1700503355704698,-0.09731543624161076
crop,SVM,MLP,-0.1488993288590604,-0.17337807606263989,-0.12527964205816555
crop,SGD,RandomForest,0.01309395973154362,-0.021252796420581643,0.04588926174496644
crop,SGD,MLP,-0.002684563758389262,-0.030201342281879207,0.023489932885905954
crop,RandomForest,MLP,-0.015778523489932885,-0.04812639821029088,0.019015659955257225
bitdepth,SVM,SGD,0.8232729306487695,0.7975111856823266,0.8478747203579418
bitdepth,SVM,RandomForest,0.21577852348993287,0.18789149888143172,0.24384787472035796
bitdepth,SVM,MLP,0.8466912751677852,0.8210290827740492,0.8691275167785235
bitdepth,SGD,RandomForest,-0.6074944071588366,-0.6387024608501118,-0.5771812080536913
bitdepth,SGD,MLP,0.02341834451901566,0.014513422818791932,0.032438478747203583
bitdepth,RandomForest,MLP,0.6309127516778524,0.6006431767337808,0.6621923937360179
