condition,model,accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted
original,SVM,0.9720670391061452,0.9803921568627452,0.9789029535864979,0.9790057437116261,0.9737101544528427,0.9720670391061452,0.972033844856717
original,SGD,0.994413407821229,0.9958847736625515,0.9957805907172995,0.995806464374728,0.9944823780950411,0.994413407821229,0.9944129657915436
original,RandomForest,0.9888268156424581,0.991869918699187,0.9915611814345991,0.9916112693890472,0.9890993323341055,0.9888268156424581,0.9888241629396192
original,MLP,0.9664804469273743,0.9640466628418437,0.9749472573839663,0.9687715515147982,0.9680926419164286,0.9664804469273743,0.9665118661158378
noise,SVM,0.4451901565995526,0.14839671886651754,0.3333333333333333,0.20536635706914344,0.19819427553313415,0.4451901565995526,0.2742812419916748
noise,SGD,0.4429530201342282,0.1476510067114094,0.3333333333333333,0.2046511627906977,0.19620737804603397,0.4429530201342282,0.27195255189636336
noise,RandomForest,0.6868008948545862,0.4763345168021427,0.5151642048626973,0.4763147780723676,0.6344159658763009,0.6868008948545862,0.6346981451390514
noise,MLP,0.4429530201342282,0.1476510067114094,0.3333333333333333,0.2046511627906977,0.19620737804603397,0.4429530201342282,0.27195255189636336
jpeg,SVM,0.9944071588366891,0.9958643507030605,0.9957912457912458,0.9958015208646964,0.9944765489255638,0.9944071588366891,0.9944068483140407
jpeg,SGD,0.9988814317673378,0.9991645781119466,0.9991582491582491,0.9991603574508495,0.9988842351964923,0.9988814317673378,0.9988814264444301
jpeg,RandomForest,0.9977628635346756,0.9983333333333334,0.9983164983164983,0.9983206962554064,0.9977740492170022,0.9977628635346756,0.9977628351455196
jpeg,MLP,0.9955257270693513,0.9941871071529264,0.9966456863441788,0.9954013300342726,0.9955536648400262,0.9955257270693513,0.995527797195021
downsample,SVM,0.5548098434004475,0.4995801847187238,0.6666666666666666,0.5551820728291316,0.3327754579931139,0.5548098434004475,0.4066625307841257
downsample,SGD,0.9955257270693513,0.9966539763113368,0.9966372265367239,0.996641392510813,0.995536827581508,0.9955257270693513,0.9955256702910392
downsample,RandomForest,0.8803131991051454,0.5948386223924643,0.6607955602930478,0.6238732296796222,0.7926825020357595,0.8803131991051454,0.8312569825310071
downsample,MLP,0.8467561521252797,0.911326160864674,0.8852554015870598,0.8803919014323304,0.8854431456113419,0.8467561521252797,0.8422439535854672
crop,SVM,0.5559284116331096,0.8331231609920134,0.6675041876046901,0.5570395009109541,0.7782442005128769,0.5559284116331096,0.4091420046363201
crop,SGD,0.7013422818791947,0.784788790297715,0.7760477471532748,0.7716721029682369,0.7134030985133301,0.7013422818791947,0.6957149505031835
crop,RandomForest,0.6890380313199105,0.7953086419753087,0.6520784054954909,0.6906373102648175,0.7274944071588367,0.6890380313199105,0.6870558753503313
crop,MLP,0.7046979865771812,0.8478644040006559,0.7788564032282626,0.7552215799614643,0.7977007728189569,0.7046979865771812,0.6736501532373821
bitdepth,SVM,0.9586129753914989,0.9716475095785441,0.9688552188552189,0.9688585367922004,0.9621332510478542,0.9586129753914989,0.9585180158556156
bitdepth,SGD,0.13534675615212527,0.27991495581688924,0.3509212730318258,0.10187151391602252,0.3353105035719716,0.13534675615212527,0.06697195702980181
bitdepth,RandomForest,0.7427293064876958,0.7666218391507224,0.8064015363010338,0.6855920160810095,0.9200143371469541,0.7427293064876958,0.7585660289306798
bitdepth,MLP,0.11185682326621924,0.03728560775540641,0.3333333333333333,0.0670690811535882,0.012511948911210206,0.11185682326621924,0.022506403071673894
